HEAD,total_spend_pkr,avg_share_pct,first_month,last_month,months_active,mean_mom_growth
Ploughing Exp Paddy,18575.0,0.06905363646999281,2025-07,2025-08,2,1.3318385650224216
Telephone Exp Haifz Ghulam Qadir,18460.0,0.00562455417818313,2024-01,2025-06,17,0.04658980582524272
Telephone Exp Nazar Ali,18400.0,0.009992467763421182,2024-01,2025-10,21,0.0125
Ploughing Expenses.,18041.0,0.07122325411289354,2025-07,2025-08,2,0.7438783269961977
Vehicle Repari KWM-17-2347 Mess,17330.0,0.005402918465528675,2024-02,2025-09,12,1.3562683041233763
Telephone Exp Abdul Rauf,17300.0,0.005517389833107133,2024-01,2025-09,17,0.12325383358471595
Labour charges-corn,17278.0,0.07270539495941526,2024-03,2024-03,1,
Vehicle POL GAQ-7345 Hassan Ayub,17050.0,0.021407061692432897,2024-02,2024-04,3,0.09345238095238095
Germination Claim SSG Seed,17000.0,0.0233153387443921,2025-05,2025-06,2,-0.7857142857142857
Freight & Octroi-purchase cotton sd,16500.0,0.0322530002023735,2024-12,2024-12,1,
Discount-SSG,16500.0,0.025949606817845104,2025-05,2025-06,2,-0.16666666666666663
Telephone Exp Kafitullah,16300.0,0.008601124169205979,2024-01,2025-10,21,0.04197640594699418
Tractor repair,16000.0,0.09227153783493487,2024-02,2024-02,1,
Labour Purchase of Afgoyee Seed,15000.0,0.01596634178880809,2024-01,2024-12,2,-0.75
Misc.expenses,14406.0,0.038866643222497416,2024-05,2025-03,2,5.203
Pesticide Gulab Shah,14184.0,0.019102513849309548,2024-09,2024-12,2,2.608187134502924
Purchase of Raw Material (Bursom,13800.0,0.04205593162067809,2025-09,2025-09,1,
Freight & Octroi-SSG,13400.0,0.055079711429354784,2024-04,2025-02,2,-0.18918918918918914
Telephone Exp Shahid Sajjad,13350.0,0.007891859341539227,2024-01,2025-10,15,0.04817903851517298
Land Lease Exp,13000.0,0.2128451734737282,2025-02,2025-02,1,
Labour charges-soyabean,12882.0,0.03184145204915438,2024-06,2024-07,2,-0.7883747178329571
Vehicle R&M Repair 155 AEJ(Dr.Shah),12750.0,0.019752131612174036,2024-01,2024-03,2,-0.16546762589928055
Telephone Exp Subhan Ali,11850.0,0.0038176132402219626,2024-02,2025-08,18,0.040106951871657755
Labour charges-Peas seed,11093.0,0.029616665194457704,2024-09,2025-08,2,-0.6382273508470415
Vehicle Repari KWL-17 5493 Imran Pl,10560.0,0.011623436540830045,2024-03,2024-04,2,2.4
Vehicle Repair KWN-17-4123 Naveed,10230.0,0.007145769557562562,2024-01,2024-09,9,0.7198878687892136
Labour charges-javi,10073.0,0.026462873234065418,2024-02,2024-03,2,-0.5099112426035504
Purchase of delinted cotton seed,10071.0,0.019686058487157793,2024-12,2024-12,1,
Telephone Exp Net H.O.,10000.0,0.030475312768607314,2025-09,2025-09,1,
Germination Claim Paddy,9600.0,0.05144897145105417,2024-09,2024-09,1,
Labour charges-Sunflower,9249.0,0.009565720985813774,2024-11,2024-12,2,20.83703703703704
Commission on sale of corn seed,8306.0,0.025780471438579394,2024-05,2024-05,1,
Freight & Octroi-R&D,8000.0,0.02468479311374206,2024-04,2025-10,4,0.3417989417989418
Freight & Octroi-vanda,8000.0,0.017139363672843237,2025-01,2025-03,2,0.6666666666666667
Entertainment-Selling,7008.0,0.011951751521711363,2024-02,2024-05,2,6.673267326732673
Telephone expenses-Sohail sb,6680.0,0.009913608388469441,2024-08,2025-09,4,-0.10434782608695654
Vegetable Seed,6343.0,0.04201638495055504,2024-06,2025-02,2,2.228666666666667
Travelling & Cony.Production staff,6300.0,0.0063461242869885075,2024-04,2025-05,2,-0.1470588235294118
Sample wheat seed,6000.0,0.02731605723193114,2024-11,2024-11,1,
Discount on sale of corn afgoyee,5100.0,0.020067381498116484,2025-06,2025-06,1,
Telephone Exp  Zain Ullah Abideen,5100.0,0.008443016915176068,2025-03,2025-10,7,-0.10416666666666667
Vehicle Repair GAQ-7345 Hassan Ayub,5060.0,0.00845229530106685,2024-02,2024-04,3,-0.6271755162241888
Misc expense Paddy,4900.0,0.025899558394029697,2025-08,2025-08,1,
Labour Charges Tomato,3879.0,0.013721184475808853,2024-05,2024-07,2,-0.3694829760403531
Labour charges-vanda,3370.0,0.007152122490456631,2024-03,2025-09,4,0.24131869755353294
Insect Net,2655.0,0.07853111494675749,2025-08,2025-10,2,0.023628048780487854
Misc Exp.,2500.0,0.011649270878030275,2024-10,2024-10,1,
Shelling expenses-corn,2500.0,0.0048868182124808335,2024-12,2024-12,1,
Telephone exp,2500.0,0.004028104374242606,2024-04,2024-04,1,
Micronutrient-Bolo,2480.0,0.006504060864495027,2024-02,2024-03,2,-0.49696969696969695
Freight & Octroi-javi,2200.0,0.01449607702682383,2024-10,2025-02,2,1.6666666666666665
labour charges-micronutrient,1663.0,0.1858987472235357,2025-10,2025-10,1,
salary & wages,1650.0,0.018259948628677858,2024-08,2024-08,1,
Lease Exp.,1400.0,0.040191447449148696,2025-09,2025-10,2,0.0
Entertainment expenses,1100.0,0.0023896126579085915,2024-01,2024-01,1,
Labour Expenses-Organic matter,1000.0,0.11178517572070698,2025-10,2025-10,1,
Electricity Exp,865.0,0.0014933979637460682,2025-05,2025-06,2,1.0034722222222223
Vehicle POL KWD-2271 Ghulam Farid,300.0,0.0017300913344050286,2024-02,2024-02,1,
"Mazhar Khan Chak 77/10-R,KWL",-4500.0,0.04724264108845303,2024-05,2025-08,4,-1.018109216073017
Income-Behrowal Farm,-19800.0,-0.10611350361779924,2024-09,2024-09,1,
Income-Chak Shahana farm,-20000.0,-0.10571248324093754,2025-08,2025-08,1,
Farm Income (39/10-R),-26600.0,-0.02937218182715095,2024-06,2024-12,2,2.75
Processing charges of Bajra seed,-48348.0,-0.15277182922985574,2024-06,2024-06,1,
Processing charges of RAYA Seed,-76488.0,-0.23309957230452358,2025-09,2025-09,1,
Processing charges-carrot seed,-99780.0,-11.153924833412141,2025-10,2025-10,1,
Processing charges of Okra seed,-122000.0,-0.6448461477697189,2025-08,2025-08,1,
Processing of Peas seed,-141300.0,-0.3751291908728742,2024-09,2025-08,2,1.0608266181440085
Packing charges-cotton seed,-153303.0,-0.18074139265687175,2024-03,2025-05,4,0.22133782288397805
Processing charges-Sunflower,-166260.0,-0.16896537201303322,2024-11,2024-12,2,31.385542168674696
Harvesting charges of Turnip,-366956.0,-0.5915276805544702,2024-01,2025-06,2,0.4794324324324324
Income-Abbas Khan farm,-510519.0,-0.997925418807001,2024-12,2024-12,1,
Processing charges-corn seed,-548912.0,-0.5881831402943271,2024-01,2025-07,7,0.5939993745023635
Income-Kamboh Farm,-686500.0,-1.0299965480900302,2024-01,2024-05,2,7.032894736842104
Processing of wheat seed,-966216.0,-4.50228476427476,2024-10,2024-10,1,
Processing charges-paddy,-1476922.0,-0.8393954659548541,2024-04,2025-05,8,1.204813696783386
Chemical application & packing char,-1619615.0,-0.6461798532781375,2024-01,2025-09,13,0.5143921643701451
Gain on sale of fixed assets,-2076278.0,-11.97058317732143,2025-03,2025-03,1,
Other Income,-7602336.26,-2.317265705442155,2024-01,2025-10,22,13.632555061699499
Delinting & processing-cotton seed,-34952994.0,-14.143713172260853,2024-01,2025-05,11,0.4524482012954512
