month,HEAD,total_pkr,month_expense_total_pkr,total_revenue_pkr,pct_of_expenses,pct_of_revenue
2024-01,Purchase of Sunflower,42837951.0,46032565.0,8268446.0,93.06009995315273,518.0895055733569
2024-01,Electricity Charges,2332941.0,46032565.0,8268446.0,5.068023039776297,28.214987435365728
2024-01,Purchase of canola cooking oil,1982738.0,46032565.0,8268446.0,4.3072507473785135,23.979572461379078
2024-01,Salaries & Wages,964027.0,46032565.0,8268446.0,2.0942282925142233,11.659107406639652
2024-01,Labour charges-corn(DAL),834597.0,46032565.0,8268446.0,1.8130577776841243,10.093758851421414
2024-01,Purchases of Pak Afgoi(Corn),751016.0,46032565.0,8268446.0,1.631488490810799,9.082915943334454
2024-01,Salary & Wages,710190.0,46032565.0,8268446.0,1.5427991032000932,8.589159317240506
2024-01,Directors Remuneration,420000.0,46032565.0,8268446.0,0.9123975602923712,5.079551828723317
2024-01,Salaries & Wages (H.O),399000.0,46032565.0,8268446.0,0.8667776822777526,4.825574237287151
2024-01,Salary & Wages-Production staff,303958.0,46032565.0,8268446.0,0.6603108038841633,3.6761200351311483
2024-01,Salaries & Wages (Factory),303428.0,46032565.0,8268446.0,0.6591594450580801,3.6697101244901402
2024-01,Wood Expenses(Dryer),286767.0,46032565.0,8268446.0,0.6229655027913391,3.468209141113094
2024-01,Labour charges-Misc,283050.0,46032565.0,8268446.0,0.6148907843827517,3.423255107428893
2024-01,Labour Charges Dryer Corn,246706.0,46032565.0,8268446.0,0.5359379821654517,2.9837045558500352
2024-01,Wheat seed expenses,189300.0,46032565.0,8268446.0,0.41123061467463307,2.289426574231724
2024-01,Pesticide Expenses,156000.0,46032565.0,8268446.0,0.33889052239430933,1.8866906792400895
2024-01,Ploughing Expenses,151270.0,46032565.0,8268446.0,0.32861518796530237,1.8294852503118482
2024-01,Hybrid Testing Fee,150000.0,46032565.0,8268446.0,0.32585627153298974,1.8141256531154706
2024-01,Packing Material Consumed,131634.0,46032565.0,8268446.0,0.2859584296464905,1.5920041081480125
